",Time (s),Pressure (hPa)"
"244,24.60349943,980.7231445"
"247,24.90349943,980.7290039"
"246,24.80349943,980.7397461"
"242,24.40349943,980.7426758"
"243,24.50349943,980.7451172"
"245,24.70349943,980.7524414"
"241,24.30349943,980.7607422"
"248,25.00349943,980.7617188"
"238,24.0034994,980.7695312"
"249,25.10349943,980.7717285"
"240,24.20349943,980.7722168"
"251,25.30349943,980.7739258"
"260,26.20343277,980.7751465"
"262,26.4033661,980.7751465"
"254,25.60349943,980.7783203"
"237,23.9034994,980.7797852"
"250,25.20349943,980.7810059"
"252,25.40349943,980.7819824"
"239,24.10349943,980.7822266"
"253,25.50349943,980.7824707"
"265,26.70195988,980.7861328"
"220,22.20376597,980.7868652"
"261,26.30339943,980.7890625"
"219,22.10379931,980.7902832"
"266,26.80192655,980.793457"
"221,22.30373264,980.7937012"
"259,26.1034661,980.7944336"
"218,22.00383261,980.7980957"
"255,25.70349943,980.7988281"
"258,26.00349943,980.7988281"
"236,23.8034994,980.7990723"
"257,25.90349943,980.800293"
"263,26.50333273,980.800293"
"264,26.60199321,980.8051758"
"209,21.10413248,980.8056641"
"215,21.70393254,980.8059082"
"203,20.50433241,980.8061523"
"256,25.80349943,980.8066406"
"224,22.60363264,980.807373"
"223,22.50366597,980.8117676"
"225,22.7035993,980.8120117"
"202,20.40436575,980.8122559"
"214,21.60396587,980.8134766"
"217,21.90386591,980.8149414"
"222,22.4036993,980.8161621"
"205,20.70426574,980.8171387"
"216,21.80389921,980.8173828"
"210,21.20409914,980.8183594"
"204,20.60429908,980.8190918"
"235,23.7034994,980.8198242"
"267,26.90189321,980.8225098"
"226,22.80356597,980.8249512"
"211,21.30406584,980.8269043"
"234,23.6034994,980.8322754"
"206,20.80423241,980.8327637"
"208,21.00416581,980.8327637"
"207,20.90419911,980.8347168"
"213,21.50399921,980.8374023"
"201,20.30439908,980.838623"
"200,20.20443238,980.8413086"
"212,21.40403251,980.8464355"
"199,20.10446571,980.8496094"
"227,22.90353267,980.854248"
"198,20.00449901,980.8684082"
"233,23.5034994,980.8769531"
"229,23.10349937,980.8776855"
"192,19.40449898,980.8820801"
"193,19.50449901,980.8840332"
"197,19.90449901,980.8852539"
"228,23.00349937,980.8862305"
"232,23.40349937,980.8876953"
"194,19.60449901,980.888916"
"195,19.70449901,980.8916016"
"196,19.80449901,980.8986816"
"191,19.30449898,980.90625"
"187,18.90218085,980.9101562"
"231,23.30349937,980.9157715"
"189,19.10449895,980.916748"
"190,19.20449895,980.9221191"
"188,19.00449895,980.9240723"
"186,18.80218085,980.9267578"
"230,23.20349937,980.9360352"
"184,18.60218085,980.9475098"
"183,18.50218085,980.9494629"
"185,18.70218085,980.951416"
"181,18.30218085,980.9553223"
"180,18.20218085,980.9614258"
"182,18.40218085,980.9689941"
"179,18.10218085,980.9819336"
"178,18.00217995,980.9853516"
"177,17.90217995,981.005127"
"176,17.80217995,981.0209961"
"175,17.70217995,981.0222168"
"173,17.50217995,981.026123"
"174,17.60217995,981.0402832"
"172,17.40217995,981.046875"
"171,17.30217995,981.0507812"
"170,17.20217995,981.0717773"
"167,16.90217995,981.0734863"
"164,16.60217995,981.0795898"
"169,17.10217995,981.0803223"
"165,16.70217995,981.0827637"
"168,17.00217995,981.0847168"
"166,16.80217995,981.0947266"
"163,16.50217995,981.0969238"
"162,16.40217995,981.1022949"
"160,16.20469232,981.1088867"
"161,16.30469232,981.1142578"
"159,16.10469232,981.1374512"
"156,15.80469232,981.161377"
"157,15.90469232,981.1657715"
"158,16.00469232,981.1657715"
"149,15.10469232,981.1674805"
"155,15.70469232,981.1699219"
"154,15.60469232,981.1721191"
"152,15.40469232,981.1779785"
"151,15.30469232,981.1791992"
"150,15.20469232,981.1843262"
"148,15.00469322,981.1848145"
"153,15.50469232,981.1853027"
"147,14.90469322,981.1877441"
"146,14.80469322,981.199707"
"145,14.70469322,981.2399902"
"143,14.50469322,981.2556152"
"142,14.40469322,981.2602539"
"144,14.60469322,981.262207"
"141,14.30469322,981.2709961"
"140,14.20469322,981.2839355"
"139,14.10469322,981.3039551"
"135,13.70469322,981.3137207"
"138,14.00469322,981.314209"
"137,13.90469322,981.3173828"
"134,13.60469322,981.3178711"
"133,13.50469322,981.3186035"
"132,13.40469322,981.3239746"
"136,13.80469322,981.3242188"
"127,12.90469322,981.3271484"
"128,13.00469322,981.331543"
"131,13.30469322,981.3371582"
"126,12.80469322,981.3518066"
"129,13.10469322,981.3525391"
"130,13.20469322,981.354248"
"125,12.70469322,981.3896484"
"124,12.60469322,981.3989258"
"120,12.20469322,981.4199219"
"117,11.90469322,981.4240723"
"114,11.60469322,981.4248047"
"121,12.30469322,981.434082"
"122,12.40469322,981.4367676"
"116,11.80469322,981.4370117"
"115,11.70469322,981.4401855"
"118,12.00469322,981.4401855"
"119,12.10469322,981.4431152"
"123,12.50469322,981.4445801"
"113,11.50469322,981.4501953"
"112,11.40469322,981.4755859"
"110,11.20469322,981.4975586"
"111,11.30469322,981.4995117"
"106,10.80469322,981.505127"
"103,10.50469322,981.5065918"
"109,11.10469322,981.5090332"
"108,11.00469322,981.513916"
"104,10.60469322,981.5175781"
"102,10.40469322,981.5227051"
"107,10.90469322,981.5253906"
"105,10.70469322,981.5383301"
"100,10.20469322,981.5522461"
"101,10.30469322,981.5544434"
"99,10.10469322,981.5664062"
"98,10.00458984,981.5681152"
"97,9.904589841,981.5957031"
"96,9.804589841,981.6181641"
"87,8.904589841,981.6193848"
"88,9.004589841,981.6281738"
"95,9.704589841,981.6293945"
"91,9.304589841,981.6313477"
"93,9.504589841,981.6313477"
"90,9.204589841,981.6342773"
"89,9.104589841,981.6408691"
"94,9.604589841,981.6413574"
"86,8.804589841,981.6455078"
"92,9.404589841,981.6506348"
"85,8.704589841,981.6604004"
"84,8.604589841,981.6640625"
"83,8.504589841,981.6789551"
"82,8.404589841,981.6821289"
"81,8.304589841,981.6928711"
"80,8.204589841,981.7072754"
"79,8.104589841,981.7224121"
"78,8.004589841,981.7255859"
"77,7.904589841,981.7397461"
"72,7.40458096,981.770752"
"76,7.804589841,981.7744141"
"71,7.30458096,981.7746582"
"75,7.70458096,981.776123"
"68,7.00458096,981.7770996"
"73,7.50458096,981.7775879"
"69,7.10458096,981.7802734"
"74,7.60458096,981.7802734"
"67,6.90458096,981.7856445"
"66,6.80458096,981.7937012"
"70,7.20458096,981.7939453"
"65,6.70458096,981.8271484"
"62,6.40458096,981.8483887"
"64,6.60458096,981.8503418"
"63,6.50458096,981.8522949"
"61,6.30458096,981.8562012"
"60,6.20458096,981.8586426"
"59,6.10458096,981.8588867"
"58,6.00458096,981.8669434"
"57,5.90458096,981.8881836"
"50,5.20458096,981.892334"
"49,5.10458096,981.8947754"
"51,5.30458096,981.8974609"
"53,5.50458096,981.8986816"
"48,5.00458096,981.9006348"
"52,5.40458096,981.9038086"
"55,5.70458096,981.9038086"
"54,5.60458096,981.9116211"
"56,5.80458096,981.9243164"
"46,4.80458096,981.9301758"
"47,4.90458096,981.9304199"
"45,4.70458096,981.9616699"
"44,4.60458096,981.9829102"
"43,4.50458096,981.9846191"
"42,4.40458096,981.9941406"
"40,4.20458096,981.9975586"
"41,4.30458096,982.0058594"
"39,4.10458096,982.0302734"
"38,4.00458096,982.0378418"
"37,3.90458096,982.0424805"
"13,1.503140464,982.0649414"
"12,1.403140464,982.0698242"
"36,3.80458096,982.0703125"
"8,1.003140464,982.0876465"
"14,1.603140464,982.0908203"
"7,0.903140464,982.0952148"
"11,1.303140464,982.097168"
"33,3.50458096,982.0974121"
"35,3.70458096,982.0996094"
"32,3.40458096,982.104248"
"34,3.60458096,982.1054688"
"17,1.903140464,982.1057129"
"23,2.503140464,982.105957"
"15,1.703140464,982.1062012"
"20,2.203140464,982.1081543"
"10,1.203140464,982.1088867"
"27,2.903140464,982.1091309"
"26,2.803140464,982.1105957"
"22,2.403140464,982.111084"
"16,1.803140464,982.1132812"
"18,2.003140464,982.1154785"
"19,2.103140464,982.1164551"
"28,3.003140464,982.1164551"
"29,3.103140464,982.1166992"
"9,1.103140464,982.1186523"
"31,3.30458096,982.1230469"
"24,2.603140464,982.1237793"
"21,2.303140464,982.1254883"
"30,3.20458096,982.1293945"
"6,0.803140464,982.1303711"
"5,0.703140464,982.1315918"
"25,2.703140464,982.1396484"
"4,0.603140464,982.166748"
"3,0.503140464,982.199707"
"0,0.203140464,982.2392578"
"2,0.403140464,982.2580566"
"1,0.303140464,982.2763672"
